Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.78,4.95,1.21,0.409,F2V,17.253025,1
8.79,3.13,1.31,0.979,K0III,16.267723,0
2.01,49.48,0.99,1.151,K2III,15.482148,0
8.61,0.99,1.03,0.444,B8II,13.588176,0
9.44,4.91,1.3,0.587,G2V,17.895409,1
9.3,8.91,1.67,0.724,G5V,19.049389,1
10.34,3.05,3.42,0.335,A9V,17.7615,1
5.87,8.27,1.28,0.635,A7V...,15.457527,1
9.03,1.59,1.54,1.751,M1/M2III,15.036985,0
8.47,9.52,1.0,0.433,F5V,18.363186,1
8.59,3.07,0.76,0.995,K0III,16.025692,0
9.17,1.66,1.25,0.911,G6III,15.27054,0
7.37,4.22,0.67,1.086,K3III,15.496562,0
8.47,2.61,1.04,1.364,K3III,15.553203,0
7.33,5.78,0.89,1.033,K1III,16.139639,0
8.99,1.4,1.14,1.153,K1III,14.72064,0
9.58,4.59,1.21,0.5,F6/F7IV,17.889065,1
7.55,37.71,1.14,0.753,K0V,20.432281,1
6.58,6.88,0.76,0.99,K0III,15.767942,0
8.05,3.38,0.89,0.431,F3II,15.694584,0
9.31,5.31,1.31,0.573,F8V,17.935474,1
8.44,5.04,0.79,0.556,F6IV/V,16.952152,1
7.27,8.4,0.97,0.448,F3/F5V,16.891396,1
4.61,25.38,1.05,1.029,K1III,16.632458,0
4.97,66.43,0.64,0.571,F8V,19.081821,1
8.34,5.64,0.99,0.96,G8III,17.096395,0
6.84,21.86,0.53,0.576,F8/G0V,18.53825,1
9.39,3.21,1.41,0.852,G5III,16.922525,0
7.34,6.83,0.94,0.975,F8III/IV,16.512104,1
8.72,6.37,0.9,0.923,K0III,17.740696,0
5.66,8.94,0.5,0.939,K0III,15.416688,0
9.61,3.62,1.58,0.563,F7V,17.403542,1
6.91,1.07,0.56,-0.023,B1V,12.056919,1
8.8,5.27,1.12,1.031,K1III,17.409054,0
8.16,7.89,1.06,0.424,F2V,17.645386,1
7.17,22.34,0.65,0.808,G8IV,18.915417,1
8.68,6.06,1.2,0.49,F5V,17.592363,1
9.67,2.83,1.45,0.397,F0V,16.928932,1
8.06,4.15,1.01,0.402,F2III/IV,16.150242,1
7.96,18.93,1.7,0.672,G2V comp SB,19.345753,1
8.73,0.47,1.29,1.326,K2III,12.090488,0
7.62,6.24,0.98,0.98,G8III,16.595924,0
8.36,3.28,1.28,1.4,G2II,15.939369,0
9.35,13.79,1.38,0.655,G5V,20.047821,1
5.79,5.05,0.87,1.595,K5III,14.306457,0
8.25,7.61,1.14,0.416,F4V,17.656923,1
8.68,17.32,1.19,0.638,G3/G5V,19.87274,1
10.82,4.31,1.84,0.222,A5V,18.992386,1
7.47,2.01,0.96,1.62,M3III,13.98598,0
8.51,1.8,0.83,1.576,K3III,14.786363,0
9.08,6.86,1.15,0.398,A9V,18.26162,1
9.42,11.19,1.5,0.831,K0/K1VCN...,19.66415,1
7.46,4.15,0.66,1.072,K0/K1III,15.5502405,0
6.35,7.35,0.74,1.222,K2/K3III,15.681437,0
8.68,3.85,1.49,0.3,A6V,16.607304,1
9.49,16.17,1.37,0.732,G6V,20.53355,1
7.21,4.78,0.59,0.916,G8III,15.60714,0
9.99,5.58,1.46,0.701,G5V,18.723171,1
8.83,2.37,1.62,1.083,G8III/IV,15.703741,1
6.72,8.31,0.9,1.176,K0/K1III,16.318005,0
9.7,-1.61,1.76,0.348,B6Ve,15.734129,1
9.07,6.14,1.12,0.47,F5V,18.010841,1
8.78,6.82,1.19,0.56,F8V,17.948921,1
6.66,6.07,0.95,0.961,G8/K0III,15.575943,0
8.98,6.05,1.01,0.403,F3V,17.888777,1
8.32,16.36,2.34,0.796,G8IV,19.388916,1
9.67,2.45,1.51,1.249,K1III,16.61583,0
6.88,27.04,0.86,0.624,G2V,19.040035,1
6.37,36.89,0.72,0.523,F6V,19.204544,1
9.78,1.11,2.81,0.598,G0V,15.006615,1
9.78,2.95,1.42,0.384,F2V,17.12911,1
9.81,2.91,1.56,0.54,G1V,17.129465,1
8.69,13.03,0.75,0.586,G1/G2V,19.26472,1
6.49,10.31,0.82,0.286,A9/F0III,16.556293,0
6.21,30.26,0.69,0.504,F8IV,18.614346,1
8.49,8.41,0.87,0.528,F6V,18.11398,1
8.96,4.39,1.29,0.306,A9V,17.172321,1
6.93,4.29,0.83,0.94,G8III/IV,15.092287,1
8.03,7.01,0.93,0.237,A5III/IV,17.25859,1
9.44,0.58,1.57,1.069,G8IV,13.257139,1
8.59,0.92,0.82,1.593,K4/K5III,13.408939,0
10.28,6.34,2.0,0.503,F3V,19.290447,1
6.83,3.66,0.83,1.197,K2III,14.647406,0
5.58,14.21,0.77,0.346,F0V,16.34297,1
8.58,16.89,1.41,0.648,G8/K0V:+...,19.718147,1
7.96,27.32,0.84,0.651,G5IV-V,20.142403,1
8.86,3.0,1.12,1.111,K0III,16.245605,0
8.87,5.03,1.18,0.523,F5V,17.37784,1
8.12,5.26,1.1,1.039,K0III/IV,16.72493,1
8.47,23.55,1.01,0.446,F5V,20.329956,1
5.57,8.99,0.6,-0.072,B9IV,15.3387985,1
8.95,14.58,0.91,0.529,F8V,19.768787,1
7.32,13.81,1.01,0.391,F3III/IV,18.02097,1
9.34,10.33,1.32,0.651,G3V,19.410501,1
10.9,0.82,1.83,0.469,B6III-IV,15.469069,1
8.45,3.36,1.15,1.214,K2IIICN...,16.081696,0
9.0,11.13,1.13,0.656,G2/G3IV/V,19.232475,1
8.51,-0.48,1.67,0.219,A0IV/V,11.916206,1
7.01,4.75,0.86,1.226,K2III,15.393469,0
6.69,3.88,0.82,1.556,M4III:,14.634159,0
7.07,6.01,0.82,1.166,K0III,15.964373,0
9.02,3.32,1.47,1.121,K1III,16.62569,0
8.8,3.49,1.48,1.128,K0III,16.514128,0
7.08,6.22,0.88,1.186,K3III,16.048952,0
6.56,6.05,0.87,1.074,K0III,15.468777,0
8.65,4.0,0.79,1.136,K1III,16.660301,0
4.39,10.15,0.6,1.597,M4III SB,14.422329,0
7.28,12.0,2.24,0.192,A3V,17.675907,1
8.29,2.49,1.06,1.32,K2III,15.270996,0
7.31,6.95,0.65,1.068,K0III,16.519924,0
8.72,3.88,1.27,1.037,K2III,16.66416,0
6.38,7.58,0.79,0.965,G8III,15.778346,0
7.82,3.14,0.81,1.179,K2III,15.304648,0
8.61,3.09,0.96,1.039,K0III,16.059792,0
9.33,1.29,1.61,1.047,K0II/III,14.882949,0
9.54,7.37,1.24,0.52,F7V,18.877338,1
8.42,5.62,1.23,0.74,G3IV,17.168682,1
8.25,1.86,0.73,1.026,K0II,14.597565,0
8.85,14.35,1.26,0.557,F8/G0V,19.63426,1
9.12,1.37,1.12,1.208,K2III,14.803602,0
8.89,10.92,1.0,0.667,G8/K0III+..,19.081116,0
7.47,15.08,0.88,0.468,F6V,18.362007,1
8.89,1.51,1.04,1.001,K0III,14.784885,0
7.43,5.34,0.81,1.061,K2III,16.067705,0
9.37,-0.9,0.91,1.308,K3III,14.141212,0
9.54,7.24,1.35,0.36,F2V,18.838692,1
5.94,10.1,0.68,1.045,K0III,15.961607,0
8.03,0.09,1.16,1.426,K2/K3III,7.8012123,0
8.73,15.32,1.34,0.707,K0V+...,19.656294,1
7.63,3.56,0.93,1.463,K4III,15.38725,0
8.09,4.16,0.96,1.061,K2III,16.185467,0
10.24,3.82,3.43,0.402,F2/F3V,18.150318,1
8.85,8.31,1.26,0.618,G1V,18.448006,1
6.2,6.56,0.7,1.376,K3III,15.284519,0
9.14,2.6,1.43,1.053,K1III,16.214867,0
9.37,25.82,1.56,0.794,K0V,21.429783,1
6.08,6.03,0.79,1.216,K1III,14.981586,0
9.16,0.5,0.97,1.074,K0III,12.65485,0
7.57,2.59,1.1,1.322,K2III,14.636499,0
7.41,5.58,0.89,1.028,G8III,16.143171,0
9.56,7.06,1.25,0.659,F8V,18.804024,1
8.84,8.87,1.28,0.517,F6V,18.579618,1
7.42,9.55,0.76,0.191,A1Vs,17.320017,1
8.96,8.71,1.43,0.488,F5/F6V,18.660091,1
7.41,2.13,0.73,1.348,K3III,14.051898,0
4.97,4.65,0.55,-0.084,B8III,13.307264,0
8.15,0.47,1.09,1.376,K2III,11.5104885,0
8.49,1.97,1.24,1.63,K5III,14.962331,0
8.66,2.34,1.18,1.05,K1III,15.506079,0
9.08,2.01,0.92,1.16,G8/K0V:,15.59598,1
8.75,5.78,1.93,0.493,F5V,17.559639,1
7.26,10.48,0.6,0.962,G8/K0III,17.361807,0
8.09,3.71,0.92,1.365,K3III,15.936871,0
8.65,3.72,1.21,1.415,K3III,16.502714,0
9.38,3.38,1.1,0.511,F3/F5V,17.024584,1
8.68,3.07,1.04,1.065,K0III,16.115692,0
7.68,5.4,0.92,1.062,K1III,16.341969,0
8.27,3.97,1.02,1.359,K1III,16.263954,0
8.8,2.51,1.09,0.17,B8II,15.798368,0
8.22,4.65,0.98,1.016,K0III-IV,16.557266,1
6.11,9.35,0.85,0.27,F0Vn,15.964058,1
8.93,24.32,0.85,0.797,K1V,20.859818,1
9.21,0.73,1.43,1.086,K0III,13.526614,0
8.32,4.74,0.79,0.361,F0III,16.69889,0
8.79,0.04,1.18,0.979,K0III,6.8002996,0
5.39,13.86,0.61,0.9,G8III,16.098816,0
8.24,11.53,1.14,0.52,F6V,18.549147,1
8.19,10.23,0.94,0.98,K1III,18.23938,0
8.61,2.46,1.32,2.157,M2Ia0-a...,15.564675,0
7.94,13.78,1.06,0.824,G2V,18.636248,1
8.33,2.19,1.17,1.107,K0III,15.032221,0
8.45,5.13,1.99,0.976,K1III,17.000587,0
9.42,4.32,1.12,0.623,G1V,17.59742,1
7.98,2.88,0.86,1.068,K0/K1III,15.276962,0
9.53,0.18,1.79,0.691,B9Iab,10.806362,0
6.52,47.65,0.6,0.686,G6V,19.910315,1
8.19,1.78,0.77,1.332,K2III,14.4421,0
9.59,1.12,1.45,0.76,B3II,14.83609,0
9.48,1.93,1.16,1.087,G8III,15.907785,0
7.28,5.82,0.6,1.165,K2III,16.104614,0
6.83,4.74,0.76,1.429,K4III,15.208892,0
8.29,2.83,1.09,1.183,K1IIICNIV,15.548932,1
7.88,3.97,0.76,1.181,K2IIICN...,15.873953,0
8.69,1.49,1.25,1.147,K1III,14.555931,0
9.04,2.5,1.6,1.322,K3III,16.029701,0
7.21,14.49,0.94,0.406,F3V,18.015343,1
9.2,5.37,1.37,1.517,K4III,17.849873,0
8.76,4.55,1.3,1.044,K0III,17.050056,0
8.92,4.33,2.16,0.417,F3V,17.10244,1
9.38,11.99,1.12,0.578,G1V,19.774097,1
5.29,5.33,0.87,1.478,K4III,13.923636,0
9.11,2.38,1.21,0.924,K1III,15.992885,0
10.14,9.09,1.75,0.596,G0V,19.93282,1
9.74,5.61,1.61,0.737,G3V,18.484814,1
6.69,4.96,0.83,-0.006,A1Vn,15.167408,1
8.41,6.58,0.94,0.563,F6V,17.50113,1
2.82,133.78,0.51,0.618,G2IV,18.451956,1
5.28,7.3,0.7,0.972,G8II-IIIvar,14.596615,0
6.53,7.97,0.79,1.041,K0III,16.037292,0
9.06,6.15,1.21,0.438,F3IV/V,18.004375,1
7.7,9.52,1.07,0.559,F5V,17.593185,1
9.4,6.3,1.42,0.51,F8V,18.396702,1
8.24,3.36,0.87,1.289,K2III,15.871696,0
9.17,5.21,1.27,0.458,F5V,17.754189,1
5.55,8.75,0.8,0.901,G5III,15.26004,0
9.58,6.86,0.87,0.587,G2V,18.76162,1
8.63,9.73,1.07,0.463,F3V,18.570564,1
7.64,3.42,0.87,1.473,K5III,15.310131,0
6.68,3.64,0.86,0.084,A2IV,14.485507,1
9.44,1.76,1.05,0.225,A5IV,15.667563,1
6.04,10.36,0.94,1.163,K1III,16.116798,0
6.55,4.11,0.89,1.389,K3III,14.619209,0
5.59,10.02,0.86,1.325,K3III,15.594339,0
7.39,4.61,0.63,1.107,K0/K1III,15.708504,0
9.99,1.64,1.55,0.131,B1Vv SB,16.064219,1
9.04,4.36,1.15,0.515,F7V,17.237432,1
9.24,63.03,1.98,1.39,M0V,23.237736,1
8.3,10.9,1.14,0.501,F5V,18.487133,1
7.6,2.87,0.88,1.62,M2III,14.88941,0
8.94,1.59,1.32,1.181,K1IV,14.946985,1
8.88,4.78,1.23,1.14,K2III,17.27714,0
6.9,8.73,0.76,0.508,F6III,16.605072,0
6.15,2.93,0.82,1.652,M0III,13.484339,0
8.59,-0.56,0.85,0.36,B0Ibp,12.33094,0
9.53,7.42,1.19,0.41,F2/F3V,18.882019,1
8.43,3.34,0.95,0.9,G5III,16.048733,0
7.7,5.99,0.96,1.198,K2IIICN...,16.587135,0
7.35,7.19,0.78,0.501,F5III/IV,16.633644,1
7.22,1.73,0.6,0.054,B9.5IV,13.410231,1
8.93,4.76,1.15,0.31,A9V,17.318035,1
8.29,4.14,1.15,1.323,K2/K3III,16.375002,0
6.6,5.84,0.78,1.153,K2III-IV,15.432064,1
8.71,1.19,0.8,0.864,G8III,14.087735,0
8.8,2.32,0.88,1.147,K0III,15.6274395,0
9.36,2.79,1.4,0.586,F7V,16.58802,1
8.64,1.96,0.95,0.889,G6III,15.101281,0
9.84,5.59,1.26,0.723,G8V,18.57706,1
9.64,5.79,1.32,0.519,F6V,18.453392,1
9.14,10.8,1.19,0.612,G1V,19.307121,1
9.32,3.94,1.17,0.319,F0V,17.297482,1
3.69,5.46,0.61,-0.196,B2IV,12.375963,1
8.61,11.16,1.47,0.572,F8V,18.84832,1
9.32,5.98,1.22,0.48,F3V,18.203506,1
9.48,5.55,1.16,0.668,G5V,18.201466,1
9.83,14.46,1.29,0.837,K1V,20.63084,1
9.33,2.59,1.08,1.068,K1III/IV,16.3965,1
8.13,6.91,1.13,0.97,K0III,17.327389,0
8.59,2.76,0.85,1.042,G8III,15.794546,0
9.1,6.19,3.26,0.484,F3:V+...,18.058453,1
6.33,7.55,0.82,0.182,A6V,15.719735,1
8.98,0.66,1.35,1.311,K2III,13.077719,0
10.01,17.3,1.52,1.075,K7V:,21.200232,1
5.56,7.96,0.6,-0.052,B9.5V,15.064566,1
5.66,7.64,0.83,1.35,K2III,15.075466,0
9.11,-0.74,1.29,0.473,B8Ib,13.456158,0
9.9,5.53,1.37,0.53,F6V,18.613625,1
9.32,7.11,1.38,0.41,F2V,18.579348,1
9.99,3.69,1.45,0.532,F3/F5V,17.82513,1
7.97,0.09,0.96,2.21,M2III,7.741212,0
9.59,11.07,2.56,0.846,K0V,19.810738,1
9.29,5.16,1.35,0.4,F0V,17.853249,1
9.39,5.83,1.58,0.513,F5V,18.218344,1
9.85,1.1,1.55,0.74,G8IV/V,15.056964,1
8.3,0.1,0.89,-0.111,B8II,8.3,0
8.83,5.72,2.06,0.6,F6/F7V,17.61698,1
8.86,2.8,1.11,0.14,B8II,16.09579,0
8.96,3.62,1.78,1.022,K1III,16.753544,0
7.29,2.69,0.7,1.461,K5III,14.438762,0
8.68,7.95,1.08,0.588,G2V,18.181835,1
7.74,6.34,0.8,0.26,A9IV,16.750446,1
8.4,10.48,1.17,0.627,G1/G2V,18.501806,1
9.35,7.31,1.17,0.529,F7V,18.669586,1
8.85,10.52,1.12,0.52,F7V,18.96008,1
7.47,1.69,0.61,1.375,K3III,13.609433,0
8.83,2.57,1.16,1.044,G8/K0III,15.879665,0
8.74,1.92,0.83,1.227,K2III,15.156506,0
9.74,3.78,1.43,0.463,F3V,17.627459,1
8.96,2.44,0.87,1.025,G8III,15.89695,0
6.26,5.32,0.74,1.122,K1II,14.889559,0
3.27,32.19,0.68,1.268,K3III...,15.808605,0
9.28,3.33,0.93,0.563,F7V,16.892221,1
5.9,8.76,0.72,1.144,K1III,15.61252,0
8.64,10.08,1.71,0.969,K0IV,18.657303,1
8.11,1.98,1.07,0.168,B9IV,14.593326,1
5.61,4.21,0.84,1.58,M5/M6Ib/II,13.731411,0
7.91,5.47,1.19,1.091,K0III,16.599937,0
7.21,18.56,0.95,0.496,F8V,18.55289,1
9.4,5.45,1.36,0.876,K0IV/V,18.081982,1
10.16,24.83,1.91,1.19,K7V:,22.134884,1
9.04,2.72,1.17,0.915,K0III,16.212845,0
8.21,1.94,0.7,1.491,K3III,14.649009,0
5.84,3.67,0.71,1.612,M0III,13.66333,0
6.81,4.23,0.91,1.56,M2III,14.941702,0
9.65,7.05,4.02,0.46,F2V,18.890945,1
9.27,16.21,1.36,0.804,K0V,20.318916,1
9.46,7.59,1.45,0.5,F5V,18.86121,1
7.11,0.41,0.83,0.738,F3Ib,10.17392,0
8.68,9.94,1.28,0.528,F6V,18.666931,1
8.12,2.31,0.78,1.337,K2/K3III,14.93806,0
7.6,4.62,0.93,1.156,K1III,15.92321,0
8.31,6.75,0.71,0.354,F0V,17.45652,1
6.39,49.05,0.91,0.659,G3V,19.843195,1
7.32,16.95,0.78,0.417,F0V,18.465849,1
9.26,2.79,1.1,1.07,K0III,16.488022,0
8.52,3.91,0.83,1.155,K1III,16.480885,0
8.53,2.19,0.98,1.011,K0III,15.23222,0
7.15,14.1,0.9,0.964,K1III,17.896095,0
6.6,46.73,0.8,0.69,G5IV,19.947979,1
8.35,0.65,1.02,0.515,B3Ib,12.414567,0
7.55,4.16,0.93,1.015,K0III,15.645467,0
7.07,5.22,0.91,1.245,K1/K2III,15.658352,0
7.28,1.92,0.69,1.56,K5III,13.6965065,0
8.82,6.44,1.24,0.374,F0V,17.86443,1
8.32,0.19,0.95,0.495,B0.5III,9.713768,0
8.44,3.0,1.02,0.068,B3V,15.825605,1
9.97,5.66,1.49,0.577,F7V,18.734081,1
5.22,7.65,0.52,0.954,G8III,14.638308,0
8.22,2.99,1.07,0.859,G8III/IV,15.598356,1
9.21,12.92,1.39,0.662,G3V,19.766312,1
9.58,5.76,0.89,0.546,F7V,18.382113,1
9.6,3.57,1.38,0.552,F6V,17.363342,1
8.5,6.38,1.14,0.541,F7V,17.524105,1
9.85,4.99,2.26,0.52,F3/F5V,18.340504,1
9.24,-1.2,1.28,0.506,F6/F7V,14.635906,1
9.23,0.56,1.36,1.728,K5III,12.97094,0
9.74,3.87,1.41,0.441,F2/F3IV,17.678555,1
7.86,13.73,0.88,0.487,F6V,18.548353,1
8.07,3.74,0.66,1.236,K1III:,15.934359,0
8.35,8.11,0.91,0.624,G1V,17.895105,1
7.04,3.66,0.89,1.447,K4III,14.857406,0
7.83,2.86,0.91,1.199,K2III,15.11183,0
6.44,5.67,0.67,0.94,G8IV,15.207916,1
5.24,45.85,0.66,0.459,F3/F5V,18.546696,1
10.14,5.62,1.38,0.585,F7/F8V,18.888683,1
9.67,11.43,1.39,0.641,G2/G3V,19.960232,1
8.23,2.83,0.93,1.032,G8III,15.488932,0
6.78,15.91,0.98,0.348,F0V,17.788351,1
6.54,0.02,0.8,2.215,K5Ia0-a...,3.0451496,0
6.35,2.24,0.74,-0.027,B8III,13.10124,0
9.23,0.65,1.34,0.988,K0III,13.294566,0
8.76,3.22,0.83,0.95,G8III,16.29928,0
8.72,0.8,1.58,0.39,O9.5IV,13.235451,1
9.09,8.34,1.18,0.503,F7V,18.695831,1
6.71,11.4,0.71,0.99,K1III,16.994524,0
8.27,33.89,0.79,0.863,K2V,20.920359,1
7.19,3.15,0.69,1.558,M4III,14.681553,0
6.67,4.58,0.95,1.304,K2III,14.974328,0
8.74,3.43,0.8,0.104,A3V,16.41647,1
8.56,3.42,1.06,1.008,G8IV,16.230131,1
7.89,62.41,1.6,1.251,K5V comp SB,21.86627,1
8.44,2.02,0.91,1.33,K2II,14.966757,0
7.53,11.79,0.68,0.455,F5IV,17.88757,1
8.01,2.9,0.98,0.076,B8V,15.321991,1
5.58,0.86,0.56,0.407,F0III,10.252492,0
8.63,2.49,1.09,1.156,K1III,15.610996,0
7.12,2.53,0.86,1.6,M1III,14.135603,0
5.9,17.7,0.99,0.944,K0III,17.139868,0
8.98,25.79,1.28,0.795,K0V,21.037256,1
7.75,7.49,0.9,0.323,F0IV,17.12241,1
3.32,16.46,22.22,0.885,G8IIIvar,14.402148,0
7.58,3.43,0.86,1.0,G8III,15.25647,0
8.33,4.23,1.32,1.259,K2/K3III,16.461702,0
8.03,3.71,1.13,1.077,K0III,15.876869,0
9.1,3.19,0.96,1.113,K0III,16.618954,0
9.69,5.6,2.93,0.521,F5V,18.430939,1
10.58,0.91,1.71,-0.057,B9V,15.375207,1
7.26,3.07,0.71,1.249,K2III,14.695692,0
9.92,0.33,2.39,0.632,F7V,12.512569,1
9.65,4.53,1.4,0.67,G1V,17.93049,1
8.71,3.68,1.2,1.141,K2III,16.53924,0
8.64,5.82,0.78,0.348,F0IV,17.464615,1
8.71,3.54,0.92,1.639,M1III,16.455017,0
8.81,14.84,0.83,0.708,G3IV,19.667171,1
9.22,8.43,1.16,0.441,F5V,18.849136,1
4.24,10.43,0.5,1.213,K2II-III,14.331421,0
9.5,20.01,1.32,0.907,K1V,21.006235,1
9.72,3.88,4.35,0.724,G3V,17.66416,1
8.82,1.39,1.31,0.979,G8/K0III,14.535074,0
8.99,0.46,1.08,1.082,K1III,12.303789,0
8.53,7.21,1.14,0.909,K0V,17.819675,1
7.79,4.52,0.89,1.086,K1III,16.065693,0
8.08,5.31,0.94,0.43,F3V,16.705473,1
8.87,3.55,1.12,0.545,F7V,16.621141,1
6.99,1.18,0.89,0.412,B6Ib,12.34941,0
9.36,5.32,1.09,0.662,G1V,17.98956,1
9.02,-1.13,1.13,0.084,B2III,14.285393,0
8.19,10.14,0.81,0.48,F6V,18.220188,1
8.27,12.5,1.0,0.577,G3V,18.75455,1
7.95,0.87,1.06,1.068,K1III,12.647596,0
9.71,19.82,2.27,1.036,K3V,21.195518,1
9.68,5.36,1.19,0.513,F5V,18.325825,1
8.56,8.48,1.17,0.444,F3/F5V,18.20198,1
7.24,4.98,1.04,1.059,K0III,15.726147,0
7.68,1.99,1.05,1.491,K4III,14.174265,0
8.78,3.92,1.13,0.926,G8III/IV,16.74643,1
9.61,7.95,1.51,0.516,F6/F7V,19.111835,1
6.24,0.93,0.57,0.332,B3Ia,11.082415,0
8.43,4.55,0.9,1.016,K0III,16.720058,0
8.04,4.51,1.2,1.44,G8V,16.310883,1
9.09,1.84,1.22,1.083,G6III:,15.414089,0
6.84,2.47,0.73,1.596,M1III,13.803485,0
8.66,4.6,1.09,0.16,A3Vn,16.97379,1
9.21,7.57,1.28,0.574,F8/G0V,18.60548,1
8.72,19.26,1.23,0.73,G6V,20.143282,1
7.65,10.33,1.22,0.492,F7III/IV,17.7205,1
8.3,11.28,0.79,0.524,F6V,18.561546,1
9.04,8.25,1.29,0.49,F5V,18.622269,1
6.18,7.77,0.72,0.315,F2III,15.632105,0
9.69,2.05,1.68,1.393,K2/K3III:,16.248768,0
8.56,1.37,1.0,1.972,K7III,14.243603,0
7.14,2.43,1.0,1.028,K0III,14.068031,0
5.5,14.39,0.73,0.083,A1/A2IV,16.290304,1
5.8,80.63,3.03,0.69,G3V,20.332481,1
9.17,0.1,1.27,0.984,F8Iab:,9.17,0
8.66,4.4,1.01,0.348,F2III,16.877262,0
7.84,1.71,0.96,1.274,K2III,14.00498,0
8.6,1.02,0.83,1.647,M2III,13.643002,0
8.84,2.79,1.5,0.4,F3V,16.068022,1
7.27,15.44,0.86,0.418,F6V,18.213236,1
7.88,11.15,0.68,0.476,F5V,18.116375,1
9.19,4.22,1.07,0.485,F3IV/V,17.316563,1
9.6,9.55,1.55,0.712,G3V,19.500017,1
7.03,2.26,0.77,1.588,M0III,13.800543,0
9.06,9.25,1.31,0.525,F6V,18.890709,1
8.75,0.29,1.14,1.771,K7III,11.06199,0
6.14,3.07,0.81,1.654,M2III,13.575691,0
7.71,2.25,0.98,1.253,K1/K2III,14.470913,0
8.61,1.24,1.12,0.978,G8III/IV,14.077108,1
7.4,0.53,0.75,0.24,B8Iab,11.021379,0
8.8,0.59,0.82,1.43,K1/K2III:,12.654261,0
8.76,9.46,1.18,0.494,F5V,18.639456,1
8.89,6.6,3.01,0.561,F8V,17.98772,1
6.98,3.12,0.91,1.306,K2II,14.450773,0
9.38,2.39,1.51,1.098,K4V,16.27199,1
5.57,11.17,0.72,1.043,G9III,15.8102665,0
8.4,4.44,1.35,1.153,K1III,16.636913,0
9.09,9.36,1.24,0.53,G0V,18.946379,1
8.71,1.14,0.85,1.04,K0II/III,13.994524,0
8.95,1.89,0.83,1.01,G8/K0III,15.332309,0
9.03,4.83,1.29,0.824,G6V,17.449734,1
8.6,0.75,0.93,1.5,M3III,12.9753065,0
8.71,0.97,1.17,1.367,K2/K3III,13.643859,0
8.32,0.95,1.15,1.022,K1III,13.208618,0
8.8,4.27,0.87,0.893,K0III,16.95214,0
8.39,10.25,0.92,0.469,F5IV,18.443619,1
6.81,12.5,0.66,0.471,F5IV/V,17.29455,1
8.92,8.17,1.89,0.499,F5V,18.48111,1
8.49,2.8,1.0,1.005,G8III,15.72579,0
7.14,4.48,0.84,1.01,G8III,15.396389,0
8.57,0.27,1.13,1.082,G8III,10.726818,0
8.04,2.27,1.03,1.046,K0IIIvar,14.820129,0
9.72,4.92,2.96,0.914,G8IV/V,18.179825,1
8.68,3.48,1.17,1.011,K0III,16.387897,0
10.27,3.21,1.75,0.238,F0V,17.802525,1
8.41,2.71,0.76,1.572,K4III,15.574846,0
7.84,10.36,1.6,0.485,F5V,17.9168,1
9.45,4.58,1.36,0.615,G2/G3V,17.754328,1
7.3,3.27,1.06,1.078,K0III,14.87274,0
7.97,7.59,0.7,0.578,F8IV/V,17.371208,1
8.65,6.37,2.29,0.493,F6V,17.670696,1
9.34,6.72,0.99,0.471,F3V,18.476847,1
9.56,9.59,0.96,0.502,F7V,19.469093,1
8.6,3.09,0.84,0.1,B8V,16.049793,1
7.46,11.74,0.83,0.368,F2V,17.80834,1
7.92,27.0,1.05,0.656,G5V,20.07682,1
8.25,10.52,0.72,0.589,G0IV,18.360079,1
9.88,7.35,1.74,0.509,F5IV/V,19.211437,1
8.34,4.31,1.11,0.409,F3V,16.512386,1
9.53,2.96,1.38,1.07,G8/K0III:,16.88646,0
9.31,10.55,1.26,0.632,G5V,19.426262,1
9.1,5.76,1.26,0.682,G0V,17.902113,1
8.66,3.71,1.14,0.264,A3II/III(m),16.50687,0
9.28,8.41,1.26,0.651,G3/G5V,18.90398,1
9.66,0.69,1.45,0.899,G8V,13.854245,1
7.22,4.29,0.89,1.273,K1III,15.382286,0
7.95,4.08,0.96,0.979,G9III,16.0033,0
8.41,18.88,1.15,0.701,G5V,19.790009,1
8.43,1.93,1.16,0.94,G6III,14.857786,0
7.56,19.48,0.76,0.505,F6/F7V,19.007944,1
8.55,4.19,1.14,1.357,K3III,16.661072,0
9.12,9.92,1.33,0.74,G5V,19.102558,1
6.87,-1.15,0.64,0.494,B5Ia,12.173489,0
8.29,13.14,0.97,0.488,F6V,18.882977,1
7.52,-0.58,0.87,0.48,B5Iab,11.33714,0
8.54,1.4,0.69,-0.035,B8III,14.27064,0
8.85,7.48,1.22,0.264,A3/A4III,18.21951,0
8.11,4.05,0.97,0.958,K0III,16.147274,0
9.48,-3.01,1.61,1.311,K2III:,16.872833,0
9.85,4.6,1.18,0.526,F6V,18.16379,1
8.55,8.18,0.88,0.401,F2V,18.113766,1
9.75,7.24,1.16,0.612,F7/F8V:,19.048693,1
7.21,7.94,0.88,1.246,K3III,16.709103,0
9.56,6.98,1.45,0.567,G0V,18.779278,1
6.78,8.63,0.84,0.261,A9V,16.460054,1
8.84,3.09,1.2,1.106,K0III,16.289793,0
7.23,2.44,1.3,0.287,B5Ib,14.16695,0
5.36,11.68,0.5,0.884,G5III,15.697214,0
8.93,5.63,1.22,0.376,F0V,17.682543,1
9.17,16.94,0.99,0.78,G8V,20.314568,1
8.78,0.16,1.17,1.137,G3/G5III,9.8006,0
